indend_level,item_code,item_name,item_name_ri,item_code_cpi
4,SEMC04,Services by other medical professionals,Services by other medical professionals,SEMC04
4,SEMD01,Hospital services,Hospital services,SEMD01
4,SEMD02,Nursing homes and adult day services,Nursing homes and adult day services,SEMD02
4,SEMD03,Care of invalids and elderly at home,Care of invalids and elderly at home,SEMD03
3,SEME,Health insurance,Health insurance,SEME
3,SERA01,Televisions,Televisions,SERA01
3,SERA02,Cable and satellite television and radio service,Cable and satellite television service,SERA02
3,SERA03,Other video equipment,Other video equipment,SERA03
3,SERA04,"Video cassettes, discs, and other media including rental","Video discs and other media, including rental of video",SERA04
3,SERA05,Audio equipment,Audio equipment,SERA05
3,SERA06,"Audio discs, tapes and other media",Recorded music and music subscriptions,SERA06
3,SERA09,Unsampled video and audio,Unsampled video and audio,SERA
3,SERB01,Pets and pet products,Pets and pet products,SERB01
3,SERB02,Pet services including veterinary,Pet services including veterinary,SERB02
3,SERC01,Sports vehicles including bicycles,Sports vehicles including bicycles,SERC01
3,SERC02,Sports equipment,Sports equipment,SERC02
3,SERC09,Unsampled sporting goods,Unsampled sporting goods,SERC
3,SERD01,Photographic equipment and supplies,Photographic equipment and supplies,SERD01
3,SERD02,Photographers and film processing,Photographers and photo processing,SERD02
3,SERD09,Unsampled photography,Unsampled photography,SERD
3,SERE01,Toys,Toys,SERE01
3,SERE02,"Sewing machines, fabric and supplies","Sewing machines, fabric and supplies",SERE02
3,SERE03,Music instruments and accessories,Music instruments and accessories,SERE03
3,SERE09,Unsampled recreation commodities,Unsampled recreation commodities,SERE
3,SERF01,Club dues and fees for participant sports and group exercises,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees",SERF01
3,SERF02,Admissions,Admissions,SERF02
3,SERF03,Fees for lessons or instructions,Fees for lessons or instructions,SERF03
3,SERF09,Unsampled recreation services,Unsampled recreation services,SERF
3,SERG01,Newspapers and magazines,Newspapers and magazines,SERG01
3,SERG02,Recreational books,Recreational books,SERG02
3,SERG09,Unsampled recreational reading materials,Unsampled recreational reading materials,SERG
3,SEEA01,Educational books and supplies,Educational books and supplies,SEEA
,SEEA09,Unsampled educational books and supplies,,
4,SEEB01,College tuition and fees,College tuition and fees,SEEB01
